ул. Аустрина, д. 150, Пенза
ул. Карпинского, д. 48, Пенза
ул. Карпинского, д. 50, Пенза
ул. Карпинского, д. 52, Пенза
ул. Карпинского, д. 6, Пенза
ул. Карпинского, д. 8, Пенза
ул. Кирова, д. 1/17, Пенза
ул. Кирова, д. 10, Пенза
ул. Кирова, д. 18, Пенза
ул. Кирова, д. 2а/19, Пенза
ул. Кирова, д. 3, Пенза
ул. Кирова, д. 3/5, Пенза
ул. Кирова, д. 30, Пенза
ул. Кирова, д. 5, Пенза
ул. Кирова, д. 67, Пенза
ул. Кирова, д. 69, Пенза
ул. Кирова, д. 71, Пенза
ул. Клары Цеткин, д. 21, Пенза
ул. Клары Цеткин, д. 49, Пенза
ул. Клары Цеткин, д. 7, Пенза
ул. Коммунистическая, д. 45, Пенза
ул. Коммунистическая, д. 47, Пенза
ул. Коммунистическая, д. 49, Пенза
ул. Комсомольская, д. 19, Пенза
ул. Комсомольская, д. 25, Пенза
ул. Комсомольская, д. 26, Пенза
ул. Комсомольская, д. 32, Пенза
ул. Красная Горка, д. 39/56, Пенза
ул. Красная, д. 24а, Пенза
ул. Красная, д. 33А, Пенза
ул. Красная, д. 67, Пенза
ул. Красная, д. 7, Пенза
ул. Красная, д. 9, Пенза
ул. Крупской, д. 20, Пенза
ул. Кулакова, д. 1, Пенза
ул. Кулакова, д. 11а, Пенза
ул. Кулакова, д. 13, Пенза
ул. Кулакова, д. 15, Пенза
ул. Кулакова, д. 3, Пенза
ул. Кулакова, д. 4, Пенза
ул. Кулакова, д. 7, Пенза
ул. Кулакова, д. 8/2, Пенза
ул. Кулибина, д. 15а, Пенза
ул. Кураева, д. 2/28, Пенза
ул. Кураева, д. 4, Пенза
ул. Кураева, д. 51/63, Пенза
ул. Ладожская, д. 45, Пенза
ул. Ладожская, д. 59, Пенза
ул. Ладожская, д. 71, Пенза
ул. Ленина, д. 10, Пенза
ул. Ленина, д. 10а, Пенза
ул. Ленина, д. 17, Пенза
ул. Ленина, д. 20 А, Пенза
ул. Ленина, д. 8, Пенза
ул. Ленинградская, д. 1, Пенза
ул. Ленинградская, д. 10, Пенза
ул. Ленинградская, д. 11, Пенза
ул. Леонова, д. 34/49, Пенза
ул. Лермонтова, д. 12, Пенза
ул. Либерсона, д. 30а, Пенза
ул. Литвинова, д. 19, Пенза
ул. Литейная, д. 10/1, Пенза
ул. Литейная, д. 2/1, Пенза
ул. Локомотивная, д. 27, Пенза
ул. Луначарского, д. 7а, Пенза
ул. Минская, д. 1, Пенза
ул. Минская, д. 2, Пенза
ул. Минская, д. 4, Пенза
ул. Мира, д. 14, Пенза
ул. Мира, д. 16, Пенза
ул. Мира, д. 27, Пенза
ул. Мичурина, д. 21а/1, Пенза
ул. Московская, д. 109а, Пенза
ул. Московская, д. 40, Пенза
ул. Московская, д. 78/63, Пенза
ул. Московская, д. 82, Пенза
ул. Московская, д. 84, Пенза
ул. Московская, д. 86, Пенза
ул. Московская, д. 88, Пенза
ул. Одесская, д. 2 А, Пенза
ул. Октябрьская, д. 4, Пенза
ул. Октябрьская, д. 6, Пенза
ул. Октябрьская, д. 7, Пенза
ул. Островского, д. 4, Пенза
ул. Плеханова, д. 45, Пенза
пр-кт. Победы, д. 138, Пенза
пр-кт. Победы, д. 140, Пенза
пр-кт. Победы, д. 148, Пенза
пр-кт. Победы, д. 16, Пенза
пр-кт. Победы, д. 2, Пенза
пр-кт. Победы, д. 4, Пенза
пр-кт. Победы, д. 6, Пенза
пр-кт. Победы, д. 77, Пенза
пр-кт. Победы, д. 77А, Пенза
пр-кт. Победы, д. 8, Пенза
пр-кт. Победы, д. 91, Пенза
ул. Пушанина, д. 12, Пенза
ул. Пушанина, д. 8, Пенза
ул. Пушкина, д. 19, Пенза
ул. Пушкина, д. 21, Пенза
ул. Пушкина, д. 23, Пенза
ул. Рахманинова, д. 13, Пенза
ул. Славы, д. 3, Пенза
ул. Славы, д. 7, Пенза
ул. Славы, д. 9/74, Пенза
ул. Спартаковская, д. 18, Пенза
ул. Ставского, д. 29, Пенза
ул. Ставского, д. 6, Пенза
ул. Суворова, д. 125, Пенза
ул. Суворова, д. 131, Пенза
ул. Суворова, д. 133, Пенза
ул. Суворова, д. 146, Пенза
ул. Суворова, д. 147, Пенза
ул. Суворова, д. 148, Пенза
ул. Суворова, д. 15, Пенза
ул. Суворова, д. 166, Пенза
ул. Суворова, д. 176, Пенза
ул. Суворова, д. 180, Пенза
ул. Суворова, д. 182, Пенза
ул. Суворова, д. 190, Пенза
ул. Суворова, д. 192а, Пенза
ул. Суворова, д. 194, Пенза
ул. Суворова, д. 196, Пенза
ул. Суворова, д. 90а, Пенза
ул. Тарханова, д. 11, Пенза
ул. Тарханова, д. 13, Пенза
ул. Терешковой, д. 38, Пенза
ул. Терновского, д. 21а, Пенза
ул. Терновского, д. 251, Пенза
ул. Толстого, д. 36, Пенза
ул. Ударная, д. 24, Пенза
ул. Ульяновская, д. 44, Пенза
ул. Ульяновская, д. 5, Пенза
ул. Ульяновская, д. 50а, Пенза
ул. Ульяновская, д. 9, Пенза
ул. Урицкого, д. 16, Пенза
ул. Урицкого, д. 18, Пенза
ул. Урицкого, д. 3, Пенза
ул. Урицкого, д. 3а, Пенза
ул. Урицкого, д. 44а/10, Пенза
ул. Центральная, д. 14, Пенза
ул. Центральная, д. 16, Пенза
ул. Циолковского, д. 39, Пенза
ул. Циолковского, д. 41, Пенза
ул. Чкалова, д. 13 А, Пенза
ул. Экспериментальная, д. 1А, Пенза
ул. Экспериментальная, д. 10, Пенза
ул. Экспериментальная, д. 11, Пенза
ул. Экспериментальная, д. 13, Пенза
ул. Экспериментальная, д. 14, Пенза
ул. Экспериментальная, д. 15, Пенза
ул. Экспериментальная, д. 2, Пенза
ул. Экспериментальная, д. 20, Пенза
ул. Экспериментальная, д. 3, Пенза
ул. Экспериментальная, д. 4А, Пенза
ул. Экспериментальная, д. 8, Пенза
ул. Коммунистическая, д. 11а/1, Пенза
ул. Богданова, д. 12, Пенза
ул. Володарского, д. 83, Пенза
ул. Володарского, д. 69, Пенза
ул. Кулакова, д. 14, Пенза
ул. Володарского, д. 85, Пенза
ул. Беляева, д. 29, Пенза
ул. Терновского, д. 150, Пенза
ул. Терновского, д. 203, Пенза
проезд. Онежский 1-й, д. 6, Пенза
проезд. Онежский 1-й, д. 8, Пенза
ул. Фурманова, д. 21, Пенза
ул. Ново-Казанская, д. 4б, Пенза
ул. Ново-Казанская, д. 8б, Пенза
ул. Ново-Казанская, д. 2б, Пенза
ул. Ладожская, д. 164, Пенза
проезд. Онежский 1-й, д. 12, Пенза
ул. Ново-Казанская, д. 2в, Пенза
ул. Ладожская, д. 168, Пенза
ул. Клары Цеткин, д. 46а, Пенза
ул. Гладкова, д. 9, Пенза
ул. Докучаева, д. 9/27, Пенза
ул. Попова, д. 44, Пенза
ул. Попова, д. 46, Пенза
ул. Попова, д. 48, Пенза
ул. Мира, д. 64, Пенза
ул. Попова, д. 6, Пенза
ул. Кулибина, д. 9, Пенза
ул. Замойского, д. 4а, Пенза
ул. Замойского, д. 4б, Пенза
ул. Володарского, д. 3, Пенза
ул. Либерсона, д. 33, Пенза
ул. Ухтомского, д. 2Б, Пенза
ул. Ставского, д. 7А, Пенза
ул. Ставского, д. 7Д, Пенза
ул. Ключевского, д. 39, Пенза
ул. Бакунина, д. 4, Пенза
ул. Ботаническая, д. 11, Пенза
ул. Революционная, д. 23, Пенза
ул. Набережная реки Пензы, д. 20, Пенза
проезд. Кубанский 1-й, д. 5/15, Пенза
ул. Куйбышева, д. 4, Пенза
ул. 9 Января, д. 1, Пенза
ул. Маркина, д. 10/7, Пенза
проезд. Аренского 5-й, д. 15, Пенза
ул. Воровского, д. 12, Пенза
ул. Маркина, д. 12, Пенза
ул. Маркина, д. 14/8, Пенза
ул. Маркина, д. 6а, Пенза
проезд. Орловский 4-й, д. 15а лит.а, Пенза
ул. Комсомольская, д. 12, Пенза
проезд. Орловский 4-й, д. 15а, лит. 5, Пенза
ул. Комсомольская, д. 22, Пенза
ул. Савицкого, д. 10, Пенза
ул. Комсомольская, д. 36, Пенза
ул. Ленина, д. 37, Пенза
ул. Леонова, д. 3, Пенза
проезд. Павлова, д. 4, Пенза
ул. Павлова, д. 42, Пенза
ул. Павлова, д. 48, Пенза
ул. Стрелочная, д. 22, Пенза
ул. Ботаническая, д. 26, Пенза
ул. Центральная, д. 6, Пенза
ул. Ботаническая, д. 28, Пенза
ул. Ботаническая, д. 3, Пенза
ул. Ботаническая, д. 7, Пенза
проезд. Рахманинова 3-й, д. 8, Пенза
ул. Рахманинова, д. 46, Пенза
ул. Ботаническая, д. 9, Пенза
ул. Ряжская, д. 22, Пенза
ул. Володарского, д. 92/68, Пенза
ул. Ряжская, д. 24, Пенза
ул. Чкалова, д. 29, Пенза
проезд. Совхозный, д. 15, Пенза
проезд. Совхозный, д. 17, Пенза
ул. Фрунзе, д. 9, Пенза
проезд. Щербакова, д. 9, Пенза
проезд. Зарубина 5-й, д. 12, Пенза
ул. Пушанина, д. 1а, Пенза
ул. Богданова, д. 29, Пенза
ул. Зарубина, д. 19, Пенза
ул. Богданова, д. 6, Пенза
ул. Воронежская, д. 9, Пенза
ул. Конструкторская, д. 1, Пенза
ул. Конструкторская, д. 5, Пенза
ул. Набережная реки Суры, д. 10, Пенза
ул. Набережная реки Суры, д. 11, Пенза
ул. Набережная реки Суры, д. 12, Пенза
ул. Набережная реки Суры, д. 2, Пенза
ул. Набережная реки Суры, д. 3, Пенза
ул. Набережная реки Суры, д. 4, Пенза
ул. Набережная реки Суры, д. 5, Пенза
ул. Набережная реки Суры, д. 8, Пенза
ул. Набережная реки Суры, д. 9, Пенза
ул. Рылеева, д. 2, Пенза
ул. Рылеева, д. 4, Пенза
ул. Рылеева, д. 6 з20.10.09 №168/6, Пенза
ул. Саранская, д. 44а, Пенза
ул. Саранская, д. 41б, Пенза
ул. Саранская, д. 41в, Пенза
ул. Свободы, д. 16, Пенза
ул. Свободы, д. 18, Пенза
ул. Свободы, д. 1, Пенза
ул. Свободы, д. 1в, Пенза
ул. Свободы, д. 20а, Пенза
проезд. Складской 2-й, д. 3а, Пенза
ул. Суворова, д. 39/12, Пенза
пер. Транспортный, д. 22, Пенза
ул. Мичурина, д. 7, к. 1, Пенза
ул. Мичурина, д. 9, Пенза
ул. Гладкова, д. 12 з, Пенза
ул. Ключевского, д. 59, Пенза
ул. Либерсона, д. 4, Пенза
ул. Набережная реки Мойки, д. 11, Пенза
ул. Лесной поселок, д. 5, Пенза
ул. Лесной поселок, д. 7, Пенза
ул. Лесной поселок, д. 4, Пенза
ул. Луначарского, д. 2Б, Пенза
ул. Менделеева, д. 1/34, Пенза
ул. Молодогвардейская, д. 38, Пенза
ул. Молодогвардейская, д. 40, Пенза
ул. Пойменная, д. 20, Пенза
ул. Набережная реки Суры, д. 1, Пенза
ул. 9 Января, д. 11, Пенза
ул. Бакунина, д. 48, Пенза
ул. Бакунина, д. 50, Пенза
ул. Свободы, д. 16А, Пенза
ул. Беляева, д. 3, Пенза
ул. Северная, д. 10, Пенза
ул. Каракозова, д. 33А, Пенза
ул. Локомотивная, д. 15, Пенза
ул. Ботаническая, д. 20, к. 1а, Пенза
ул. Северная, д. 18, Пенза
ул. Каракозова, д. 6, Пенза
ул. Северная, д. 2А, Пенза
ул. Северная, д. 32, Пенза
ул. Каракозова, д. 8, Пенза
ул. Ботаническая, д. 24, к. 2, Пенза
ул. Локомотивная, д. 23, Пенза
ул. Славы, д. 6, Пенза
ул. Касаткина, д. 7, Пенза
ул. Кирова, д. 15А, Пенза
ул. Славы, д. 6, к. Б, Пенза
ул. Славы, д. 6, к. В, Пенза
ул. Бумажников, д. 15, Пенза
ул. Локомотивная, д. 29, Пенза
ул. Славы, д. 6, к. Г, Пенза
ул. Бумажников, д. 16, Пенза
ул. Локомотивная, д. 33, Пенза
ул. Слесарная, д. 11, Пенза
ул. Локомотивная, д. 35, Пенза
ул. Кирова, д. 52, Пенза
ул. Слесарная, д. 15, Пенза
ул. Локомотивная, д. 37, Пенза
ул. Воровского, д. 9, Пенза
ул. Бумажников, д. 6, Пенза
ул. Кирова, д. 57, к. Б, Пенза
ул. Слесарная, д. 7/9, Пенза
ул. Кирова, д. 57, к. А, Пенза
ул. Кирова, д. 6/8, Пенза
ул. Локомотивная, д. 39, Пенза
ул. Кирова, д. 55, Пенза
ул. Сосновая, д. 4, Пенза
тер. Веселовское Лесничество, д. 1, Пенза
ул. Ключевского, д. 50, Пенза
ул. Старо-Черкасская, д. 26, Пенза
тер. Веселовское Лесничество, д. 2, Пенза
ул. Ключевского, д. 58, Пенза
тер. Веселовское Лесничество, д. 3, Пенза
ул. Компрессорная, д. 4, Пенза
ул. Компрессорная, д. 5, Пенза
тер. Веселовское Лесничество, д. 4, Пенза
ул. Старо-Черкасская, д. 3, к. Б, Пенза
тер. Веселовское Лесничество, д. 5, Пенза
ул. Компрессорная, д. 7, Пенза
ул. Воровского, д. 30, Пенза
ул. Старо-Черкасская, д. 8, Пенза
ул. Комсомольская, д. 10, Пенза
ул. Суворова, д. 59А, Пенза
ул. Воровского, д. 32, Пенза
ул. Комсомольская, д. 9, Пенза
городок. Военный 2-й, д. 116, Пенза
ул. Воровского, д. 33, Пенза
ул. Луначарского, д. 2а, Пенза
ул. Комсомольская, д. 23, Пенза
ул. Тамбовская, д. 23, Пенза
ул. Маркина, д. 8/8, Пенза
ул. Комсомольская, д. 24, Пенза
ул. Володарского, д. 31, Пенза
ул. Мебельная, д. 11, Пенза
ул. Тамбовская, д. 9, Пенза
ул. Комсомольская, д. 27, Пенза
ул. Гагарина, д. 14, Пенза
ул. Володарского, д. 38-40, к. А, Пенза
ул. Терновского, д. 8, Пенза
ул. Мебельная, д. 13, Пенза
ул. Гагарина, д. 16а, Пенза
ул. Тиражная, д. 1, Пенза
ул. Мебельная, д. 3, Пенза
ул. Транспортная, д. 25, Пенза
ул. Мебельная, д. 5, Пенза
ул. Тухачевского, д. 32, Пенза
ул. Володарского, д. 7, Пенза
ул. Мебельная, д. 7, Пенза
ул. Ударная, д. 12/23, Пенза
ул. Володарского, д. 78/62, Пенза
ул. Мебельная, д. 9, Пенза
ул. Ударная, д. 13/40, Пенза
ул. Володарского, д. 79, Пенза
пл. Мироносицкая, д. 1/2, Пенза
ул. Красная, д. 11А, Пенза
ул. Галетная, д. 1б, Пенза
ул. Красная, д. 31, Пенза
пл. Мироносицкая, д. 1/2, к. б, Пенза
ул. Ударная, д. 17, Пенза
ул. Володарского, д. 84, Пенза
ул. Герцена, д. 44а, к. А, Пенза
ул. Красная, д. 40, Пенза
ул. Ударная, д. 3, Пенза
ул. Володарского, д. 89/3, Пенза
ул. Воровского, д. 10, Пенза
ул. Ударная, д. 9, Пенза
ул. Красная, д. 48/22, к. В, Пенза
ул. Воровского, д. 11, Пенза
ул. Максима Горького, д. 18, Пенза
ул. Урицкого, д. 133, Пенза
ул. Красная, д. 70, Пенза
ул. Железнодорожная, д. 7, Пенза
ул. Красная, д. 75, к. В, Пенза
ул. Железнодорожная, д. 9, Пенза
ул. Урицкого, д. 56, Пенза
ул. Красная, д. 75А, Пенза
ул. Максима Горького, д. 20, Пенза
ул. Красная, д. 76, Пенза
проезд. Жемчужный, д. 10б, Пенза
ул. Максима Горького, д. 37, Пенза
ул. Гоголя, д. 14, Пенза
ул. Красная, д. 77, Пенза
ул. Урицкого, д. 95, Пенза
ул. Московская, д. 10, Пенза
ул. Красная, д. 35А, Пенза
ул. Московская, д. 102, к. а, Пенза
ул. Фабричная, д. 7А, Пенза
ул. Красная, д. 35Б, Пенза
ул. Московская, д. 102, к. б, Пенза
ул. Фрунзе, д. 10, Пенза
проезд. Жемчужный, д. 3, к. а, Пенза
ул. Московская, д. 103/49, Пенза
ул. Фрунзе, д. 11, Пенза
проезд. Жемчужный, д. 3, к. а2, Пенза
ул. Долгова, д. 23, Пенза
ул. Московская, д. 18, Пенза
ул. Заводская, д. 9, Пенза
ул. Фрунзе, д. 14, Пенза
ул. Московская, д. 20, Пенза
ул. Куйбышева, д. 35, Пенза
ул. Замойского, д. 4, к. бБ, Пенза
ул. Чернышевского, д. 11, Пенза
ул. Московская, д. 22, Пенза
ул. Замойского, д. 9, Пенза
ул. Чехова, д. 31/19, Пенза
ул. Чехова, д. 37, Пенза
ул. Чехова, д. 40, Пенза
ул. Куйбышева, д. 48, Пенза
ул. ИТР, д. 1, Пенза
ул. Чехова, д. 51а, Пенза
ул. Куйбышева, д. 7, Пенза
ул. Московская, д. 28, Пенза
ул. Чехова, д. 53, к. В, Пенза
ул. ИТР, д. 6, Пенза
ул. Московская, д. 30, Пенза
ул. ИТР, д. 8, Пенза
ул. Московская, д. 97, Пенза
ул. Куйбышева, д. 15А, Пенза
ул. Чкалова, д. 14, Пенза
ул. Мостовая, д. 21/23, Пенза
ул. Кураева, д. 43, Пенза
ул. Чкалова, д. 56, Пенза
ул. Кустанайская, д. 2, Пенза
ул. Чкалова, д. 55, Пенза
ул. Новая, д. 50, Пенза
ул. Ягодная, д. 15, Пенза
ул. Окружная, д. 19, Пенза
ул. Бурденко, д. 16, Пенза
ул. Пушанина, д. 6А, Пенза
ул. Пушанина, д. 8А, Пенза
ул. Ленина, д. 18, Пенза
ул. Ленина, д. 31, Пенза
ул. Лермонтова, д. 13, Пенза
проезд. Лескова 3-й, д. 6, Пенза
проезд. Лескова 3-й, д. 8, Пенза
ул. Павлушкина, д. 102, Пенза
ул. Павлушкина, д. 104, Пенза
ул. Лесозащитная, д. 3, Пенза
ул. Пархоменко, д. 27, Пенза
ул. Лесозащитная, д. 4, Пенза
ул. Перекоп, д. 2а, Пенза
ул. Лесозащитная, д. 5, Пенза
ул. Пожарского, д. 2, Пенза
ул. Лесозащитная, д. 8, Пенза
ул. Пожарского, д. 4, Пенза
ул. Лесозащитная, д. 9, Пенза
ул. Пожарского, д. 6, Пенза
ул. Литейная, д. 6, Пенза
ул. Привокзальная, д. 15, Пенза
ул. Локомотивная, д. 11, Пенза
ул. Привокзальная, д. 25, Пенза
ул. Привокзальная, д. 27, Пенза
ул. Привокзальная, д. 9, Пенза
ул. Привокзальная, д. 31, Пенза
ул. Путевая, д. 5, Пенза
ул. Путевая, д. 7, Пенза
ул. Путевая, д. 2, Пенза
ул. Путевая, д. 3, Пенза
ул. Рабочий Порядок, д. 1 а, Пенза
ул. Рабочий Порядок, д. 1б, Пенза
ул. Рабочий Порядок, д. 1 в, Пенза
ул. Рабочий Порядок, д. 1 ж, Пенза
ул. Рабочий Порядок, д. 1з, Пенза
ул. Рабочий Порядок, д. 1 ее1, Пенза
ул. Рабочий Порядок, д. 16а, Пенза
ул. Ремесленная, д. 2, Пенза
ул. Ремесленная, д. 4, Пенза
ул. Ремесленная, д. 6/39, Пенза
ул. Рузаевская, д. 2а, Пенза
ул. Салтыкова-Щедрина, д. 4, Пенза
проезд. Свободы 1-й, д. 8, Пенза
проезд. Терновского 4-й, д. 7А, Пенза
ул. Ударная, д. 40, Пенза
ул. Измайлова, д. 41а, Пенза
ул. Калинина, д. 74 А, Пенза
ул. Ульяновская, д. 21А, Пенза
ул. Ульяновская, д. 42А, Пенза
ул. Клары Цеткин, д. 19, Пенза
ул. Ульяновская, д. 62, Пенза
ул. Ульяновская, д. 8А, Пенза
ул. Ухтомского, д. 55А, Пенза
ул. Кулибина, д. 12, Пенза
ул. Ухтомского, д. 57А, Пенза
ул. Кулибина, д. 14, Пенза
ул. Фрунзе, д. 25А, Пенза
ул. Литейная, д. 14А, Пенза
ул. Фрунзе, д. 30А, Пенза
ул. Плеханова, д. 6А, Пенза
ул. Плеханова, д. 10, Пенза
ул. Циолковского, д. 14, Пенза
ул. Плеханова, д. 12, Пенза
ул. Чаадаева, д. 93, Пенза
ул. Пушанина, д. 13, Пенза
ул. Чаадаева, д. 97, Пенза
ул. Революционная, д. 2д, Пенза
ул. Чкалова, д. 7, Пенза
ул. Свердлова, д. 40/13 А, Пенза
ул. Славы, д. 4 А, Пенза
ул. Экспериментальная, д. 12А, Пенза
пр-кт. Победы, д. 81А, Пенза
пр-кт. Победы, д. 87А, Пенза
ул. Ворошилова, д. 2А, Пенза
ул. Экспериментальная, д. 16А, Пенза
ул. Ворошилова, д. 4, Пенза
ул. Экспериментальная, д. 18А, Пенза
ул. Экспериментальная, д. 5А, Пенза
ул. Герцена, д. 44, Пенза
ул. Экспериментальная, д. 6А, Пенза
ул. Карпинского, д. 24, Пенза
ул. Экспериментальная, д. 7, Пенза
ул. Экспериментальная, д. 9А, Пенза
ул. Карпинского, д. 27а, Пенза
ул. Карпинского, д. 3, Пенза
пр-кт. Победы, д. 12а, Пенза
ул. Вяземского, д. 47А, Пенза
ул. Островского, д. 2, Пенза
ул. Островского, д. 10, Пенза
ул. Карпинского, д. 30а, Пенза
ул. Попова, д. 54, Пенза
ул. Карпинского, д. 42 А, Пенза
пр-кт. Строителей, д. 16, Пенза
ул. Карпинского, д. 44 А, Пенза
ул. Кулакова, д. 10А, Пенза
ул. Ладожская, д. 57, Пенза
ул. Луначарского, д. 28А, Пенза
ул. Максима Горького, д. 38/45 А, Пенза
ул. Мира, д. 47, Пенза
ул. Мира, д. 6А, Пенза
ул. Новый Кавказ, д. 4, Пенза
ул. Пушанина, д. 22А, Пенза
ул. Пушанина, д. 4А, Пенза
ул. Пушанина, д. 44А, Пенза
ул. Пушкина, д. 163Б, Пенза
ул. Свердлова, д. 38а, Пенза
ул. Собинова, д. 4, Пенза
ул. Суворова, д. 184, Пенза
ул. Суворова, д. 186А, Пенза
ул. Суворова, д. 192А (дубль 1), Пенза
ул. Тамбовская, д. 20Б, Пенза
ул. Тарханова, д. 7, Пенза
ул. Ударная, д. 22, Пенза
ул. Ударная, д. 28, Пенза
ул. Карпинского, д. 46 А, Пенза
ул. Урицкого, д. 105, Пенза
ул. Военный городок, д. 108, Пенза
ул. Военный городок, д. 102, Пенза
ул. Военный городок, д. 11А, Пенза
ул. Военный городок, д. 12, Пенза
ул. Юбилейная, д. 12, Пенза
ул. Юбилейная, д. 18, Пенза
ул. Юбилейная, д. 20, Пенза
пр-кт. Строителей, д. 62, Пенза
ул. Каракозова, д. 1/2, Пенза
ул. Славы, д. 5, к. А, Пенза
ул. Кирова, д. 67, к. А, Пенза
